model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target
ld2_ols_characteristics_full_dgtw_select_recent,ols,characteristics,0,cap_spread_bp,9.07628504566883,4.2666914938515506,2.1272419294312868,0.03339998694924911,0.7137233845763902,17.43884670676127,2266,2266,0,5,full,select,recent,dgtw
ld2_ols_characteristics_full_dgtw_select_union,ols,characteristics,0,rank_ic,0.060536470790007,0.00165112172862005,36.66384479150503,2.753670883362915e-294,0.057300331667820184,0.06377260991219381,2266,2266,0,5,full,select,union,dgtw
ld2_ols_characteristics_full_dgtw_select_union,ols,characteristics,0,ew_spread_bp,18.34480078430213,3.6463646350628967,5.030983628982486,4.879698186087472e-07,11.198057425078314,25.491544143525946,2266,2266,0,5,full,select,union,dgtw
ld2_ols_characteristics_full_dgtw_select_union,ols,characteristics,0,cap_spread_bp,9.849595652977683,4.244301060270129,2.3206637590291024,0.020304998132146458,1.5309184353030645,18.168272870652302,2266,2266,0,5,full,select,union,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_retain,ridge,characteristics,504,rank_ic,0.06068103268846969,0.0016343416419301784,37.12873191972555,9.664163312567278e-302,0.05747778193185248,0.0638842834450869,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_retain,ridge,characteristics,504,ew_spread_bp,14.50204672196336,3.6820371219102,3.9385932954526703,8.196072434671495e-05,7.285386573279852,21.71870687064687,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_retain,ridge,characteristics,504,cap_spread_bp,10.704066540319111,4.31512975251461,2.480589728288331,0.013116524659678965,2.2465676367732375,19.161565443864987,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_recent,ridge,characteristics,504,rank_ic,0.0607238601540553,0.0016323670402057413,37.19988131247844,6.854326727440971e-303,0.0575244795457018,0.0639232407624088,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_recent,ridge,characteristics,504,ew_spread_bp,14.269271251400072,3.6374384843084706,3.922890053799182,8.74930844474406e-05,7.140022826175507,21.398519676624637,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_recent,ridge,characteristics,504,cap_spread_bp,10.915177212162398,4.187795374871299,2.6064256333197386,0.009149268930310022,2.7072491027912378,19.123105321533558,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_union,ridge,characteristics,504,rank_ic,0.06104673546797219,0.001648987272695935,37.020743870367575,5.3110601746062737e-300,0.057814779802523225,0.06427869113342115,2266,2266,0,5,full,fixed504,union,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_union,ridge,characteristics,504,ew_spread_bp,14.92277317775564,3.674749920331487,4.0608948911575204,4.8884977474867684e-05,7.720395681714494,22.12515067379679,2266,2266,0,5,full,fixed504,union,dgtw
ld2_ridge_characteristics_full_dgtw_fixed504_union,ridge,characteristics,504,cap_spread_bp,11.274199191769222,4.215778539572496,2.6742863947764413,0.0074888466804851755,3.011425087410263,19.53697329612818,2266,2266,0,5,full,fixed504,union,dgtw
ld2_ridge_characteristics_full_dgtw_select_retain,ridge,characteristics,0,rank_ic,0.0610179146360109,0.0016352709539429074,37.31364180895323,9.861650502020615e-305,0.05781284246131835,0.06422298681070346,2266,2266,0,5,full,select,retain,dgtw
ld2_ridge_characteristics_full_dgtw_select_retain,ridge,characteristics,0,ew_spread_bp,14.1230159740677,3.6559475361909652,3.8630247929602666,0.00011199163655360459,6.957490473765462,21.288541474369936,2266,2266,0,5,full,select,retain,dgtw
ld2_ridge_characteristics_full_dgtw_select_retain,ridge,characteristics,0,cap_spread_bp,9.93425241675715,4.141336854391684,2.3988032768265066,0.016448748990230883,1.8173813343010519,18.051123499213247,2266,2266,0,5,full,select,retain,dgtw
ld2_ridge_characteristics_full_dgtw_select_recent,ridge,characteristics,0,rank_ic,0.06113101950816951,0.001649863832564414,37.05216048839159,1.6576225395042184e-300,0.05789734581694803,0.06436469319939098,2266,2266,0,5,full,select,recent,dgtw
ld2_ridge_characteristics_full_dgtw_select_recent,ridge,characteristics,0,ew_spread_bp,14.606726280550133,3.6122726853428286,4.043638881366415,5.262795813407199e-05,7.5268019149404015,21.686650646159862,2266,2266,0,5,full,select,recent,dgtw
ld2_ridge_characteristics_full_dgtw_select_recent,ridge,characteristics,0,cap_spread_bp,8.632196427300507,4.210452483448311,2.0501826018069296,0.04034661512470923,0.379861201124589,16.884531653476422,2266,2266,0,5,full,select,recent,dgtw
ld2_ridge_characteristics_full_dgtw_select_union,ridge,characteristics,0,rank_ic,0.06126776289436665,0.0016496310670179786,37.140281920805336,6.29156824442244e-302,0.05803454541523303,0.06450098037350027,2266,2266,0,5,full,select,union,dgtw
ld2_ridge_characteristics_full_dgtw_select_union,ridge,characteristics,0,ew_spread_bp,14.829457165347858,3.705398358652454,4.002122236255564,6.27768495923244e-05,7.567009834015217,22.0919044966805,2266,2266,0,5,full,select,union,dgtw
