family,comparison,model_id,benchmark_id,metric,family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
feature,versus_core,ridge_textcore_raw_fit756_val126,ridge_core_raw_fit756_val126,rank_ic,48,0.0024180706742044414,0.00706992184853666,0.0017439917427579724,4.053873464650807,5.0376472379259197e-05,0.0036517608433957916,0.010488082853677529,1258,1258,0,63,raw,2014-2018
estimator,versus_ols,ridge_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.00047444544337958217,0.0005353332562700484,-0.88626185244925,0.37547644033323346,-0.0015236793453954282,0.0005747884586362639,1258,1258,0,5,raw,2014-2018
estimator,versus_ols,ridge_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.00047444544337958217,0.0005354041480262054,-0.8861445043499372,0.3755396637869839,-0.0015238182906842966,0.0005749274039251323,1258,1258,0,21,raw,2014-2018
estimator,versus_ols,ridge_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.00047444544337958217,0.0005509264896202651,-0.8611774026451356,0.38914034382766804,-0.0015542415211643817,0.0006053506344052173,1258,1258,0,63,raw,2014-2018
history,versus_fit504,ridge_textcore_raw_fit756_val126,ridge_textcore_raw_fit504_val126,rank_ic,32,1.0,-0.0004641864859141593,0.0006956322917893882,-0.6672871449370522,0.5045887360063057,-0.001827600724304418,0.0008992277524760995,1258,1258,0,5,raw,2014-2018
history,versus_fit504,ridge_textcore_raw_fit756_val126,ridge_textcore_raw_fit504_val126,rank_ic,32,1.0,-0.0004641864859141593,0.0005972974946288951,-0.777144538673415,0.4370734992726669,-0.0016348680634428,0.0007064950916144815,1258,1258,0,21,raw,2014-2018
history,versus_fit504,ridge_textcore_raw_fit756_val126,ridge_textcore_raw_fit504_val126,rank_ic,32,1.0,-0.0004641864859141593,0.0006281836146878513,-0.7389344055795162,0.4599468290571732,-0.0016954037463805345,0.0007670307745522159,1258,1258,0,63,raw,2014-2018
feature,versus_core,lasso_textcore_raw_fit756_val126,lasso_core_raw_fit756_val126,rank_ic,48,0.0004352450227062862,0.006342051036751529,0.001428939942398698,4.438290825648984,9.067604639714295e-06,0.003541380213579342,0.009142721859923717,1258,1258,0,5,raw,2014-2018
feature,versus_core,lasso_textcore_raw_fit756_val126,lasso_core_raw_fit756_val126,rank_ic,48,0.001639275676732061,0.006342051036751529,0.001530471282199323,4.143854974944616,3.4151576598584605e-05,0.0033423824442680187,0.009341719629235041,1258,1258,0,21,raw,2014-2018
feature,versus_core,lasso_textcore_raw_fit756_val126,lasso_core_raw_fit756_val126,rank_ic,48,0.0038075795848476375,0.006342051036751529,0.0016070343304218962,3.94643158313024,7.932457468432578e-05,0.0031923216272051716,0.009491780446297888,1258,1258,0,63,raw,2014-2018
