model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,57.08566836127647,25.097825534553802,2.274526463764079,0.022934351825129,7.894834223281286,106.27650249927166,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.09478086936141232,0.00694969256990364,13.638138436780736,2.3754726230198913e-42,0.08115972222077557,0.10840201650204907,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,77.07302327189754,23.632241730052378,3.26135049532293,0.0011088288767744758,30.75468060705034,123.39136593674473,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,56.81231034870038,24.056600672265002,2.3616100679677334,0.018195769560170293,9.662239440598924,103.96238125680183,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.08821769983352071,0.0059016451348564165,14.94798447173442,1.6053479321191026e-50,0.0766506879196661,0.09978471174737531,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,87.69196349119854,21.014303868140132,4.172965425904432,3.00660580666829e-05,46.50468474946313,128.87924223293393,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,47.78320604143677,22.01615856995798,2.170369816768992,0.029978841451589633,4.63232816639627,90.93408391647728,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.093546379527923,0.00668690488351933,13.989488583646395,1.8070669568102545e-44,0.0804402867881801,0.10665247226766589,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,78.79791923001392,23.189649982502317,3.397977946604225,0.0006788589229645983,33.34704045021948,124.24879800980835,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,52.58994732988891,25.326900005039988,2.076446281203923,0.037852694576760146,2.9501354799632153,102.22975917981461,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
