family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
characteristic_shape,c_squares_minus_c,li1_ridge_c_squares_joint_raw_fixed504_union,li1_ridge_additive_c_joint_raw_fixed504_union,-0.002206884301101516,0.0007314247833615023,-3.0172402566933205,0.002550875466553093,-0.003640450533890072,-0.0007733180683129597,2266,2266,0,63,rank_ic,9,9,0.022957879198977835,raw,full
estimator,versus_ols,li1_ridge_c_squares_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,5.413017881663074e-05,0.0006181071574799452,0.08757410128904229,0.9302151872515507,-0.0011573375884304895,0.0012655979460637508,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_ridge_c_squares_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,5.413017881663074e-05,0.0007119782611416729,0.07602785333618445,0.9393969385656267,-0.0013413215707965018,0.001449581928429763,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_ridge_c_squares_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,5.413017881663074e-05,0.0007815661636959091,0.06925860065468706,0.944783778462529,-0.0014777113535624875,0.0015859717111957488,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
characteristic_shape,c_squares_minus_c,li1_enet_c_squares_joint_raw_fixed504_union,li1_enet_additive_c_joint_raw_fixed504_union,-0.001463588623521624,0.0006738132150920196,-2.172098425409701,0.02984823972783576,-0.002784238257409123,-0.00014293898963412465,2266,2266,0,5,rank_ic,9,9,0.26863415755052183,raw,full
characteristic_shape,c_squares_minus_c,li1_enet_c_squares_joint_raw_fixed504_union,li1_enet_additive_c_joint_raw_fixed504_union,-0.001463588623521624,0.0006828799173479993,-2.143259138745138,0.032092295933412,-0.002802008667289391,-0.0001251685797538564,2266,2266,0,21,rank_ic,9,9,0.288830663400708,raw,full
characteristic_shape,c_squares_minus_c,li1_enet_c_squares_joint_raw_fixed504_union,li1_enet_additive_c_joint_raw_fixed504_union,-0.001463588623521624,0.0007293547056649312,-2.0066897658352847,0.044782706415744465,-0.0028930975785797005,-3.407966846354711e-05,2266,2266,0,63,rank_ic,9,9,0.40304435774170017,raw,full
estimator,versus_ols,li1_enet_c_squares_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,8.065491821215493e-05,0.0006816944853716517,0.11831534498651963,0.905817799257712,-0.0012554417215758491,0.0014167515580001588,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_c_squares_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,8.065491821215493e-05,0.000745273862751155,0.10822185272192404,0.9138197107932409,-0.0013800550113991562,0.0015413648478234659,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_c_squares_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,8.065491821215493e-05,0.0006855395409022979,0.11765173764593945,0.9063436088688794,-0.0012629778919344722,0.001424287728358782,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_c_squares_joint_raw_fixed504_union,li1_ridge_c_squares_joint_raw_fixed504_union,2.652473939552417e-05,0.0004582638821157768,0.05788092937427458,0.9538434738060695,-0.0008716559649669073,0.0009247054437579557,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_c_squares_joint_raw_fixed504_union,li1_ridge_c_squares_joint_raw_fixed504_union,2.652473939552417e-05,0.00044106042380440217,0.06013856143957079,0.9520452779393863,-0.0008379378062670768,0.0008909872850581252,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_c_squares_joint_raw_fixed504_union,li1_ridge_c_squares_joint_raw_fixed504_union,2.652473939552417e-05,0.00040516416875959333,0.06546664646266583,0.9478024616135458,-0.0007675824391993873,0.0008206319179904357,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
characteristic_shape,c_pairs_given_squares,li1_ols_c_quadratic_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,0.002256182602261353,0.0006944424662333151,3.2489122021857066,0.0011584722843838394,0.000895100379108883,0.003617264825413823,2266,2266,0,5,rank_ic,9,9,0.010426250559454555,raw,full
characteristic_shape,c_pairs_given_squares,li1_ols_c_quadratic_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,0.002256182602261353,0.0006837054313679475,3.2999337123111876,0.00096707667997471,0.0009161445807457543,0.0035962206237769518,2266,2266,0,21,rank_ic,9,9,0.00870369011977239,raw,full
characteristic_shape,c_pairs_given_squares,li1_ols_c_quadratic_joint_raw_fixed504_union,li1_ols_c_squares_joint_raw_fixed504_union,0.002256182602261353,0.0006501025749975793,3.470502485349722,0.0005194855355027966,0.000982004969009348,0.0035303602355133577,2266,2266,0,63,rank_ic,9,9,0.0046753698195251695,raw,full
characteristic_shape,c_quadratic_minus_c,li1_ols_c_quadratic_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0010007836595640814,0.0010139824848109276,0.9869831822101864,0.32365088329081115,-0.0009865854916197689,0.0029881528107479315,2266,2266,0,5,rank_ic,9,9,1.0,raw,full
characteristic_shape,c_quadratic_minus_c,li1_ols_c_quadratic_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0010007836595640814,0.0010239961798654076,0.9773314385758967,0.3284050935956524,-0.0010062119732787169,0.0030077792924068794,2266,2266,0,21,rank_ic,9,9,1.0,raw,full
characteristic_shape,c_quadratic_minus_c,li1_ols_c_quadratic_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0010007836595640814,0.0009575228405790609,1.0451799342549974,0.29593981557664706,-0.0008759266223453657,0.0028774939414735285,2266,2266,0,63,rank_ic,9,9,1.0,raw,full
characteristic_shape,c_pairs_given_squares,li1_ridge_c_quadratic_joint_raw_fixed504_union,li1_ridge_c_squares_joint_raw_fixed504_union,0.0019247909749895919,0.0007460759483355456,2.579886108490288,0.009883290455234246,0.00046250898652035644,0.003387072963458827,2266,2266,0,5,rank_ic,9,9,0.0889496140971082,raw,full
characteristic_shape,c_pairs_given_squares,li1_ridge_c_quadratic_joint_raw_fixed504_union,li1_ridge_c_squares_joint_raw_fixed504_union,0.0019247909749895919,0.0007624942300616257,2.5243351347511545,0.011591736230868068,0.0004303297456492072,0.0034192522043299768,2266,2266,0,21,rank_ic,9,9,0.10432562607781261,raw,full
