model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.067681604713524,0.007912125350427348,8.554162341458404,1.1872771934378933e-17,0.05217412398552004,0.08318908544152795,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,18.271008777874403,10.126443202968478,1.8042868963624283,0.07118634291875905,-1.576455191434242,38.11847274718305,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,12.875460196485395,15.030002520409584,0.856650568022295,0.3916380299265064,-16.582803431063628,42.33372382403442,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.06462952197870758,0.006823516409514019,9.47158592431825,2.7562667981829817e-21,0.05125567556814204,0.07800336838927312,251,251,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,20.483198968506976,8.71023386862394,2.351624454343492,0.01869163559884372,3.4114542890830712,37.554943647930884,251,251,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,12.38100996063442,9.262679191005216,1.336655378570959,0.18133515346531937,-5.773507654084407,30.53552757535325,251,251,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.06521482533200773,0.007749901048956651,8.414923612577923,3.9315101968923725e-17,0.050025298392303505,0.08040435227171196,251,251,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,15.993007830092647,9.778728786209369,1.6354894567325642,0.1019464831018347,-3.172948405462794,35.15896406564809,251,251,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,18.265807572365457,12.096904996494683,1.509957098750328,0.13105437146844626,-5.443690545166749,41.97530568989767,251,251,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.0665577679689815,0.007241103146777926,9.191661355990725,3.8682017216897583e-20,0.052365466592957106,0.08075006934500588,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2018
