model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target,horizon,target_column,stock_days
ld2_ols_characteristics_core_full_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,61.500559835686936,14.831363867400846,4.146655721316662,3.373667578546814e-05,32.431620813972586,90.56949885740129,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,36.04587419756707,15.106080141954155,2.386183169878516,0.01702426940162258,6.438501171761221,65.65324722337293,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_retain,ridge,characteristics_core,504,rank_ic,0.08644211563035249,0.005790021190377886,14.929499010125529,2.1185176423117199e-50,0.0750938826274881,0.09779034863321688,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_retain,ridge,characteristics_core,504,ew_spread_bp,54.98370319015215,15.789085996173018,3.4823867070886294,0.0004969654576016516,24.037663288847313,85.92974309145698,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_retain,ridge,characteristics_core,504,cap_spread_bp,42.52702184093819,16.361080182604567,2.5992795931746477,0.009341964913044079,10.459893934861228,74.59414974701515,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_recent,ridge,characteristics_core,504,rank_ic,0.08595899291178173,0.005754760918952475,14.937022427584816,1.8924420441851277e-50,0.07467986877099625,0.09723811705256721,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_recent,ridge,characteristics_core,504,ew_spread_bp,52.91563105394048,15.722068592059138,3.3656914002186054,0.000763520758716163,22.100942851036216,83.73031925684475,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_recent,ridge,characteristics_core,504,cap_spread_bp,37.3552211315167,16.373362625203285,2.2814630071172024,0.022521063326835827,5.264020080304071,69.44642218272932,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.08659228687851599,0.00580050005265371,14.928417566154542,2.1531529454134064e-50,0.07522351568299203,0.09796105807403994,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,55.076944970758994,15.804211093622415,3.4849537660873553,0.0004922220835368334,24.10126042319068,86.05262951832731,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_ridge_characteristics_core_full_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,37.41119215808117,16.420666251088388,2.278299283721298,0.022708752316420524,5.227277703795579,69.59510661236676,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_core_full_raw_fixed504_retain,lasso,characteristics_core,504,rank_ic,0.08598175816424912,0.005707513146038264,15.064662308124745,2.76575194494808e-51,0.07479523795672523,0.09716827837177301,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_core_full_raw_fixed504_retain,lasso,characteristics_core,504,ew_spread_bp,54.222681591832135,15.465694824797499,3.505997124997719,0.0004549001335074723,23.910476739341537,84.53488644432274,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_core_full_raw_fixed504_retain,lasso,characteristics_core,504,cap_spread_bp,36.72422943787058,15.615377902527452,2.3517989553058793,0.018682869736148505,6.118651143934159,67.329807731807,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
