model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,year
lasso_characteristics_attention_raw_fit252_val126,lasso,characteristics_attention,252,rank_ic,0.06541182688995861,0.009403664739963654,6.955993083416906,3.5008703803937346e-12,0.04698098267694064,0.08384267110297658,253,253,0,5,raw,2020
lasso_characteristics_attention_raw_fit252_val126,lasso,characteristics_attention,252,ew_spread_bp,-30.434060093825178,23.604161283941277,-1.2893514718750254,0.19727592417901108,-76.6973660956248,15.829245907974443,253,253,0,5,raw,2020
lasso_characteristics_attention_raw_fit252_val126,lasso,characteristics_attention,252,cap_spread_bp,-33.24418703691458,31.413741228189615,-1.058268952921863,0.2899328431766559,-94.81398846382727,28.32561438999811,253,253,0,5,raw,2020
enet_characteristics_attention_raw_fit252_val126,enet,characteristics_attention,252,rank_ic,0.06557907084224995,0.009452350654537074,6.937858448022385,3.98088287110327e-12,0.04705280399011368,0.08410533769438622,253,253,0,5,raw,2020
enet_characteristics_attention_raw_fit252_val126,enet,characteristics_attention,252,ew_spread_bp,-30.126325250792217,23.939288306508402,-1.25844698744038,0.20823014787361038,-77.04646814706955,16.793817645485117,253,253,0,5,raw,2020
enet_characteristics_attention_raw_fit252_val126,enet,characteristics_attention,252,cap_spread_bp,-30.05971764601882,31.328587702758778,-0.9594980128444085,0.3373079202625081,-91.46262122993045,31.34318593789281,253,253,0,5,raw,2020
ols_characteristics_core_raw_fit252_val126,ols,characteristics_core,252,rank_ic,0.0655232875657441,0.008948351832780133,7.322386154477667,2.435999580968856e-13,0.04798484025250206,0.08306173487898615,253,253,0,5,raw,2020
ols_characteristics_core_raw_fit252_val126,ols,characteristics_core,252,ew_spread_bp,-22.50351010866838,20.593453032170878,-1.0927506947724421,0.27450327498159455,-62.86593636904047,17.85891615170371,253,253,0,5,raw,2020
ols_characteristics_core_raw_fit252_val126,ols,characteristics_core,252,cap_spread_bp,-1.1357215780248073,25.480248614029055,-0.04457262545701754,0.9644479626873028,-51.07609117864838,48.80464802259877,253,253,0,5,raw,2020
ridge_characteristics_core_raw_fit252_val126,ridge,characteristics_core,252,rank_ic,0.06755273834266214,0.010109070682686471,6.682388565979449,2.3507870693113718e-11,0.04773932388742692,0.08736615279789736,253,253,0,5,raw,2020
ridge_characteristics_core_raw_fit252_val126,ridge,characteristics_core,252,ew_spread_bp,-33.01342584112494,23.270166174311935,-1.4187017657642962,0.15598598221164509,-78.62211345703855,12.595261774788668,253,253,0,5,raw,2020
ridge_characteristics_core_raw_fit252_val126,ridge,characteristics_core,252,cap_spread_bp,-27.377559558353795,29.96906609547014,-0.9135272841382249,0.36096529061323,-86.11584975577568,31.3607306390681,253,253,0,5,raw,2020
lasso_characteristics_core_raw_fit252_val126,lasso,characteristics_core,252,rank_ic,0.0654880612537613,0.009395656174400602,6.970035944077011,3.168600191902791e-12,0.047072913540814734,0.08390320896670787,253,253,0,5,raw,2020
lasso_characteristics_core_raw_fit252_val126,lasso,characteristics_core,252,ew_spread_bp,-30.74387293562137,23.698832672649004,-1.297273724840595,0.1945370216629152,-77.19273144965453,15.704985578411794,253,253,0,5,raw,2020
lasso_characteristics_core_raw_fit252_val126,lasso,characteristics_core,252,cap_spread_bp,-32.56275748949417,31.208434333127027,-1.043396062164181,0.2967648965741889,-93.73016479630644,28.604649817318105,253,253,0,5,raw,2020
enet_characteristics_core_raw_fit252_val126,enet,characteristics_core,252,rank_ic,0.06565226385129125,0.009368133155917389,7.008041277660741,2.416775154077352e-12,0.047291060263317614,0.08401346743926488,253,253,0,5,raw,2020
enet_characteristics_core_raw_fit252_val126,enet,characteristics_core,252,ew_spread_bp,-29.547520564828645,24.09621890608483,-1.226230583312274,0.22011191539148256,-76.77524178434805,17.680200654690758,253,253,0,5,raw,2020
enet_characteristics_core_raw_fit252_val126,enet,characteristics_core,252,cap_spread_bp,-30.278017684430797,30.94484255303074,-0.9784511791437558,0.3278512262328731,-90.92879459563355,30.37275922677195,253,253,0,5,raw,2020
ols_characteristics_all_raw_fit252_val126,ols,characteristics_all,252,rank_ic,0.06637063869805487,0.008562661455431391,7.751169311494294,9.105018881623005e-15,0.04958813063360003,0.08315314676250972,253,253,0,5,raw,2020
