model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
ld3_group_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,group_ridge,characteristics_textcore,504,cap_spread_bp,12.687638464318775,6.721789933393369,1.8875386749721974,0.05908790957784261,-0.48682771677611747,25.862104645413666,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,group_ridge,characteristics_textcore,504,rank_ic,0.0700464315902576,0.0035986827068033305,19.464464443568314,2.1977974258655696e-84,0.06299314309313596,0.07709972008737924,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,group_ridge,characteristics_textcore,504,ew_spread_bp,24.07700468579535,5.895174401056288,4.084188702115628,4.423107729891887e-05,12.522675177142544,35.63133419444816,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,group_ridge,characteristics_textcore,504,cap_spread_bp,12.701213177943854,6.815936537596133,1.8634582508045712,0.06239782111485712,-0.6577769566552014,26.06020331254291,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_ols_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.06923319997551242,0.0033708423899422033,20.538842214067294,9.684369062363215e-94,0.06262647029366478,0.07583992965736006,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_ols_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,27.079135551307473,5.547708872596822,4.8811385336145126,1.054751114450625e-06,16.205825964304395,37.95244513831055,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_ols_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,10.414739593525415,6.335344635923686,1.643910504011114,0.10019469012023108,-2.002307722534031,22.83178690958486,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_ols_characteristics_textcore_pca_raw_standard_original_expanded_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.06943118301119888,0.0033874762254079973,20.496434038540414,2.316600625964037e-93,0.06279185161091352,0.07607051441148424,2266,2266,0,5,pca,standard,original,expanded,fixed504,union,raw,full
ld3_ols_characteristics_textcore_pca_raw_standard_original_expanded_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,27.038375815134824,5.5575247816310185,4.8651831305374085,1.1435087764508824e-06,16.145827399949198,37.93092423032045,2266,2266,0,5,pca,standard,original,expanded,fixed504,union,raw,full
ld3_ols_characteristics_textcore_pca_raw_standard_original_expanded_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,11.023556748152135,6.319787569205512,1.7442922926502662,0.08110813491920907,-1.3629992774346018,23.410112773738874,2266,2266,0,5,pca,standard,original,expanded,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.07029601069793026,0.0035567389493933554,19.764174908006698,6.058074772144799e-87,0.06332493045470845,0.07726709094115207,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,25.408358464428105,5.827995731743804,4.359707802467046,1.3023622853614577e-05,13.985696728157091,36.831020200699115,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,13.52568418340368,6.732811657771857,2.0089206220094744,0.044545552550020545,0.3296158194794234,26.721752547327938,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_original_expanded_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.07038265827893506,0.0035553034530722695,19.79652629035499,3.1894327950563093e-87,0.06341439155680252,0.07735092500106759,2266,2266,0,5,pca,standard,original,expanded,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_original_expanded_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,25.73856179129234,5.844137120760841,4.4041680164994945,1.061906210606891e-05,14.284263513887483,37.1928600686972,2266,2266,0,5,pca,standard,original,expanded,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_original_expanded_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,13.665417495476918,6.700625071229506,2.039424285079337,0.0414077007217657,0.532433681960951,26.798401308992887,2266,2266,0,5,pca,standard,original,expanded,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_expanded_original_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.07019825370134762,0.0035669100015764065,19.68041068328702,3.1741984901231327e-86,0.06320723856216216,0.07718926884053308,2266,2266,0,5,pca,standard,expanded,original,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_expanded_original_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,25.17947281596576,5.848449946614125,4.305324153546539,1.6674139669903945e-05,13.716721555216871,36.64222407671465,2266,2266,0,5,pca,standard,expanded,original,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_expanded_original_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,14.650664608888983,6.715063911019921,2.1817610082379333,0.02912717568245138,1.4893811894052593,27.811948028372704,2266,2266,0,5,pca,standard,expanded,original,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_expanded_expanded_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.07028201326160839,0.0035680426103950917,19.697638435384608,2.2591462731239108e-86,0.06328877824992973,0.07727524827328705,2266,2266,0,5,pca,standard,expanded,expanded,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_expanded_expanded_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,25.437956269133874,5.863821366252923,4.338119236635126,1.4370718860552291e-05,13.945077579501692,36.930834958766056,2266,2266,0,5,pca,standard,expanded,expanded,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_pca_raw_standard_expanded_expanded_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,13.608977212839214,6.72299326391234,2.0242437674137554,0.04294507631629414,0.4321525472656411,26.785801878412787,2266,2266,0,5,pca,standard,expanded,expanded,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,lasso,characteristics_textcore,504,rank_ic,0.0698910883206452,0.0035438315740246953,19.72189898440082,1.3987689719144509e-86,0.0629453060682809,0.07683687057300949,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_pca_raw_standard_original_original_fixed504_union,lasso,characteristics_textcore,504,ew_spread_bp,25.84190825694436,5.730115968497241,4.509840359081173,6.487642846773744e-06,14.611087331451918,37.0727291824368,2266,2266,0,5,pca,standard,original,original,fixed504,union,raw,full
