model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
li1_enet_cq_s_squares_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.0701167857467372,0.003144189058402921,22.30043564312661,3.6592086762913845e-110,0.06395428843168258,0.07627928306179182,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cq_s_squares_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,30.67371041956531,5.495550699109785,5.58155353284869,2.383796576788956e-08,19.902628974096217,41.444791865034404,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cq_s_squares_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,32.772703324669145,6.576730730175533,4.983129866378829,6.256392951326668e-07,19.88254795750729,45.662858691831005,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cs_joint_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.07016785025141577,0.0028060846733407906,25.005606893493084,5.3125418450749865e-138,0.06466802535409798,0.07566767514873356,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cs_joint_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,39.22271803325394,5.0923046693420755,7.702351013950921,1.3358532710369029e-14,29.241984283038324,49.20345178346956,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cs_joint_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,28.535480624016955,6.227571910226647,4.582119810958302,4.602860366492605e-06,16.32966396883942,40.74129727919449,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cs_joint_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.07020181007785936,0.0029162134470347074,24.07293270979278,4.803042707754291e-128,0.06448613675043993,0.07591748340527879,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cs_joint_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,36.9705322008051,5.328576749272544,6.938162654005557,3.9723221492843084e-12,26.526713683373398,47.414350718236804,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cs_joint_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,33.680903428039464,6.6428132796199755,5.070277006185291,3.9723710480706544e-07,20.661228643959912,46.70057821211901,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cs_joint_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.0703171315168307,0.003153941040826537,22.29500507669701,4.1312447139126666e-110,0.0641355206674479,0.07649874236621348,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cs_joint_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,32.19575324620172,5.49820514081111,5.855684249979097,4.750500201047071e-09,21.419469190598967,42.97203730180447,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cs_joint_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,29.782945425890137,6.543694724182419,4.551395913355551,5.329116006850322e-06,16.957539440667833,42.60835141111244,2266,2266,0,5,cs_joint,,226,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_text_main_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.0701168582953331,0.002795961930234542,25.077901647055427,8.665851738605777e-139,0.0646368736099283,0.07559684298073789,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_text_main_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,40.07785103139275,5.080682974786457,7.888280223403869,3.063791990621202e-15,30.11989538394547,50.035806678840025,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_text_main_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,30.987031801871506,6.1962764458835915,5.00091176894751,5.705982250960162e-07,18.842553129685818,43.131510474057194,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_text_main_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.06999336429118812,0.0029069267441736465,24.078131460132536,4.237068919604389e-128,0.0642958925669115,0.07569083601546474,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_text_main_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,36.52671197599209,5.278475655625355,6.9199356706448,4.518487835635953e-12,26.18108979769495,46.872334154289234,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_text_main_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,35.14796419154835,6.519551246968724,5.391163112321642,7.000309606383326e-08,22.36987855212645,47.92604983097024,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_enet_text_main_joint_raw_fixed504_union,enet,characteristics_textcore,504,rank_ic,0.07011593154560909,0.00315558221695083,22.219649727067033,2.2179302763588023e-109,0.0639311040501304,0.07630075904108778,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_enet_text_main_joint_raw_fixed504_union,enet,characteristics_textcore,504,ew_spread_bp,32.18151453086129,5.495567072609491,5.855904241667341,4.744215326301922e-09,21.410400993922472,42.95262806780011,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_enet_text_main_joint_raw_fixed504_union,enet,characteristics_textcore,504,cap_spread_bp,30.336905240797453,6.598497796065943,4.597547226413331,4.274937479797151e-06,17.404087208441283,43.26972327315362,2266,2266,0,5,text_main,,244,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_text_squares_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.06977144058959119,0.002785519012330181,25.04791397249341,1.8396515183803592e-138,0.06431192364717245,0.07523095753200992,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_text_squares_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,40.29889091666277,5.088466024451242,7.9196541203218,2.3817218056924456e-15,30.325680772182626,50.27210106114292,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
