family,comparison,model_id,benchmark_id,metric,family_size,observed_family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_recent,ld2_ols_characteristics_full_raw_select_recent,rank_ic,90,90,1.0,0.0006812387958300083,0.0005141181695738811,1.3250626726432222,0.18515036531393547,-0.000326414300332455,0.0016888918919924715,2266,2266,0,63,raw,full
refit,union_minus_retain,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_select_retain,rank_ic,114,114,1.0,0.00021812797803864596,0.0001593546607357677,1.3688208241385085,0.17105528985765328,-9.420141777205778e-05,0.0005304573738493497,2266,2266,0,5,raw,full
refit,union_minus_retain,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_select_retain,rank_ic,114,114,1.0,0.00021812797803864596,0.00015986378983640336,1.364461447222459,0.17242237997027898,-9.519929247278497e-05,0.0005314552485500769,2266,2266,0,21,raw,full
refit,union_minus_retain,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_select_retain,rank_ic,114,114,1.0,0.00021812797803864596,0.0001707311809828724,1.2776106671488927,0.20138673749115632,-0.00011649898772577374,0.0005527549438030657,2266,2266,0,63,raw,full
refit,union_minus_recent,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_select_recent,rank_ic,114,114,1.0,0.00020042605038304975,0.0002028585633808115,0.9880088227126238,0.32314832730630993,-0.00019716942779887664,0.0005980215285649761,2266,2266,0,5,raw,full
refit,union_minus_recent,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_select_recent,rank_ic,114,114,1.0,0.00020042605038304975,0.000181544478069905,1.1040052141154868,0.26959087587550423,-0.00015539458822608568,0.0005562466889921852,2266,2266,0,21,raw,full
refit,union_minus_recent,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_select_recent,rank_ic,114,114,1.0,0.00020042605038304975,0.00017760625550124917,1.1284853104829975,0.2591150171516242,-0.00014767581382841747,0.0005485279145945169,2266,2266,0,63,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_fixed504_union,rank_ic,57,57,1.0,4.177176289510675e-05,0.00019714178641155435,0.21188690462560672,0.8321952672407875,-0.0003446190383194276,0.0004281625641096411,2266,2266,0,5,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_fixed504_union,rank_ic,57,57,1.0,4.177176289510675e-05,0.0002056360717175145,0.20313441385171604,0.8390299740638152,-0.0003612675315935173,0.0004448110573837308,2266,2266,0,21,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_union,ld2_ridge_characteristics_full_raw_fixed504_union,rank_ic,57,57,1.0,4.177176289510675e-05,0.0001979959004830277,0.21097286758564704,0.8329084433671703,-0.00034629307113820423,0.00042983659692841773,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_union,rank_ic,90,90,1.0,0.0007099338608972589,0.00039064980026806917,1.8173153049357575,0.06916884780273916,-5.572567819592223e-05,0.00147559339999044,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_union,rank_ic,90,90,1.0,0.0007099338608972589,0.00040733179682325086,1.7428883932803139,0.08135311185856738,-8.842179063429955e-05,0.0015082895124288174,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_union,rank_ic,90,90,1.0,0.0007099338608972589,0.0004656148252373752,1.5247234890670145,0.12732808046801686,-0.00020265442723590792,0.0016225221490304257,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,90,90,1.0,0.000963124737600164,0.00041324672663542076,2.3306288362929077,0.019772939590685476,0.00015317603666567027,0.0017730734385346578,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,90,90,1.0,0.000963124737600164,0.0004117806467006193,2.338926672045356,0.019339228837864434,0.00015604950053633786,0.0017701999746639902,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,90,90,1.0,0.000963124737600164,0.00041416082476521023,2.3254848841537923,0.02004604725977815,0.00015138443725294746,0.0017748650379473805,2266,2266,0,63,raw,full
refit,recent_minus_retain,ld2_lasso_characteristics_full_raw_fixed504_recent,ld2_lasso_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,-7.795908985046666e-05,0.00030777199969900417,-0.2533014371895732,0.8000352855988222,-0.0006811811247103872,0.0005252629450094539,2266,2266,0,5,raw,full
refit,recent_minus_retain,ld2_lasso_characteristics_full_raw_fixed504_recent,ld2_lasso_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,-7.795908985046666e-05,0.00029208806427945223,-0.2669026892378598,0.7895440860239977,-0.0006504411761522132,0.00049452299645128,2266,2266,0,21,raw,full
refit,recent_minus_retain,ld2_lasso_characteristics_full_raw_fixed504_recent,ld2_lasso_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,-7.795908985046666e-05,0.00029299010655097526,-0.2660809635116574,0.7901768556066402,-0.0006522091465169311,0.0004962909668159978,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,90,90,1.0,0.0004489234500949894,0.00040080071327179393,1.1200664949679422,0.2626854270884421,-0.00033663151289569157,0.0012344784130856703,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,90,90,1.0,0.0004489234500949894,0.00041610225584139804,1.0788777128526348,0.28064224538835436,-0.00036662198524002213,0.001264468885430001,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,90,90,1.0,0.0004489234500949894,0.00040269006649926235,1.114811333683126,0.2649312786531901,-0.0003403345771756042,0.001238181477365583,2266,2266,0,63,raw,full
refit,union_minus_retain,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_lasso_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.0003591327661155822,0.00020974330986465805,1.712248969215377,0.08685079655807453,-5.195656721737222e-05,0.0007702220994485365,2266,2266,0,5,raw,full
refit,union_minus_retain,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_lasso_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.0003591327661155822,0.00019676189281389052,1.8252150402683511,0.0679685850249086,-2.6513457329573715e-05,0.000744778989560738,2266,2266,0,21,raw,full
refit,union_minus_retain,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_lasso_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.0003591327661155822,0.00020486377957021096,1.753032023860031,0.07959651032922611,-4.2392863578783824e-05,0.0007606583958099482,2266,2266,0,63,raw,full
refit,union_minus_recent,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_lasso_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.0004370918559660488,0.00021121622964150887,2.0694046887775244,0.038508126895364786,2.3115652918350013e-05,0.0008510680590137476,2266,2266,0,5,raw,full
refit,union_minus_recent,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_lasso_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.0004370918559660488,0.00022237634926362438,1.9655501019484851,0.049350602821250436,1.2422203958448435e-06,0.0008729414915362528,2266,2266,0,21,raw,full
refit,union_minus_recent,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_lasso_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.0004370918559660488,0.00023185262057818305,1.885214214426604,0.05940092249090255,-1.7330930088420152e-05,0.0008915146420205178,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,90,90,1.0,0.0004610018103437237,0.00039945949819526045,1.154063959992211,0.24847394764098596,-0.0003219244194014295,0.001243928040088877,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,90,90,1.0,0.0004610018103437237,0.0004212687096950712,1.094317711556153,0.2738156599778867,-0.00036466968847227537,0.001286673309159723,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_lasso_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,90,90,1.0,0.0004610018103437237,0.00042865014057838323,1.0754733679118544,0.28216284949107173,-0.00037913702715793864,0.001301140647845386,2266,2266,0,63,raw,full
