model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,8.45183790478178,23.790099874894214,0.3552670207030546,0.7223895597165331,-38.17590103862173,55.07957684818528,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,2.7337761345544913,24.136083625264494,0.11326510866464291,0.9098203784411569,-44.57207849881086,50.03963076791984,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.05509691537448902,0.012007963335518554,4.588364723892597,4.467316460106306e-06,0.031561739709195194,0.07863209103978284,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,9.24978020037713,23.795303776736745,0.38872292983374684,0.697481118267179,-37.38815820321682,55.88771860397108,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,2.0915041296141994,23.87022044308781,0.08761980789414302,0.9301788583048508,-44.69326824186964,48.87627650109804,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.054409497435038756,0.012057332326275096,4.512565131548268,6.404825709393881e-06,0.03077756032590902,0.0780414345441685,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,9.814403969176363,23.87624294084026,0.4110531122293469,0.6810335899337425,-36.98217228099925,56.61098021935197,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,3.169296529487887,24.20878248733271,0.1309151557351646,0.8958424253268502,-44.27904525524821,50.61763831422398,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.0544862682241534,0.012040938445456926,4.5250848570454405,6.03712776162623e-06,0.03088646253099412,0.07808607391731268,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,8.61365845485218,24.08679235511172,0.35760919627075965,0.720635795230459,-38.5955870642615,55.82290397396586,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,-0.20149394492673064,24.55245547528659,-0.008206671838975351,0.9934520967438161,-48.3234224085117,47.92043451865824,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.0543883683206547,0.012058710587280703,4.510297177048308,6.473687134054753e-06,0.030753729869592673,0.07802300677171672,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,9.88722292501497,23.90353429784021,0.4136301687365255,0.679144975488662,-36.962843401969764,56.73728925199971,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,2.6661758345426847,24.249297712967074,0.1099485793816195,0.9124501552798491,-44.86157433326228,50.19392600234765,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.05465854409988044,0.01209114203233835,4.5205443748566925,6.168081367660477e-06,0.03096034118453884,0.07835674701522204,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,7.3584700644820975,24.07415731406679,0.30565846889197085,0.7598646977875141,-39.826011229240336,54.54295135820453,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,-2.1686613874863507,24.439673412362907,-0.08873528507910931,0.9292922896946595,-50.069541069638774,45.73221829466607,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2016
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.05589563953476916,0.011510038400691596,4.856251351117177,1.1962883370465741e-06,0.03333637880874063,0.0784549002607977,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,11.57027419116454,23.72098231032432,0.4877653901427469,0.62571602876538,-34.92199681498285,58.062545197311934,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,3.8404611865211398,21.94132096467557,0.17503327136520588,0.861053490352214,-39.16373767747661,46.84466005051889,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.06664606719212189,0.007793861185359721,8.551097537804798,1.2192353528617017e-17,0.05137037996831219,0.0819217544159316,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,19.781943983380614,9.7934030889503,2.0199254338566117,0.04339112265160845,0.587226642954711,38.97666132380652,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,13.664141960748536,10.616474538085724,1.287069630481339,0.19807001957741177,-7.14376577668599,34.47204969818306,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06764114972079895,0.008069463140206767,8.38236057907884,5.1876624980372366e-17,0.05182529259142019,0.0834570068501777,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,18.708726837565763,9.813905047083955,1.9063488741543064,0.05660495715798518,-0.5261736024146515,37.94362727754618,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,17.12589379743627,10.161075686491914,1.6854410227652719,0.09190351454757119,-2.7894485922734873,37.041236187146026,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06762844612236861,0.008068439431544502,8.38184963723807,5.2102368287079513e-17,0.05181459542509856,0.08344229681963866,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,18.12108505953422,9.956224956041842,1.8200758961897108,0.06874744772132031,-1.3927572762866731,37.63492739535511,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,14.943461801620636,11.528107984118645,1.2962631701756309,0.19488483262001854,-7.651214657140553,37.53813826038183,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.06721813749200554,0.007909648559902994,8.498245779560897,1.9247723740295644e-17,0.05171551118422657,0.08272076379978452,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,18.204748627412094,10.123647723035512,1.798240034171548,0.07213897789248531,-1.637236301908434,38.04673355673262,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,17.162123516035887,11.955971916646833,1.4354436122537473,0.1511607257519363,-6.271150840764225,40.595397872836,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.06693131124546652,0.007966617606791234,8.401471559072968,4.4091797267228725e-17,0.05131702765755302,0.08254559483338002,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,17.14143253538282,10.05189096167769,1.7052943173312998,0.08813954690249025,-2.559911726029142,36.84277679679478,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,11.164447809231714,14.022330217830428,0.7961906213729937,0.4259212479105575,-16.318814397043614,38.647710015507045,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.0672025640049319,0.007913351620390145,8.492301015889733,2.025854746111186e-17,0.05169267983196553,0.08271244817789826,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,17.96484584253282,10.196544111508016,1.7618563354477474,0.07809357362899481,-2.020013382796858,37.949705067862496,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,17.267154723361113,11.856609767369422,1.4563315367671164,0.14530099150987083,-5.971373399428781,40.505682846151004,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.06716677158081957,0.007990581447339044,8.405742688873646,4.2516238477889904e-17,0.051505519728501106,0.08282802343313804,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,16.823210505216483,10.165055051497065,1.655004367412534,0.09792361199492841,-3.099931296584707,36.74635230701767,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,11.683073529054646,14.110507351562514,0.8279697701841268,0.40768762007471393,-15.973012683595545,39.33915974170483,251,251,0,5,full,standard,expanded,none,fixed504,union,raw,2017
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.06752665522766652,0.007616625749673947,8.865691639182508,7.603062338488997e-19,0.05259834307458519,0.08245496738074784,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,20.674178282797303,9.739700849367145,2.122670768080176,0.033781450209457234,1.5847153978435244,39.76364116775108,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,14.44069307412756,10.416818388796797,1.3862863434058146,0.16565948524504004,-5.975895801408717,34.857281949663836,251,251,0,5,full,standard,original,none,fixed504,union,raw,2017
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.0665577679689815,0.007241103146777926,9.191661355990725,3.8682017216897583e-20,0.052365466592957106,0.08075006934500588,251,251,0,5,full,standard,original,none,fixed504,union,raw,2018
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,42.13358931432006,11.50886658179412,3.6609677429896705,0.00025126439490380276,19.576625311126985,64.69055331751314,251,251,0,5,full,standard,original,none,fixed504,union,raw,2018
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,22.21118461557113,13.135441929040576,1.6909354657086482,0.09084912875745103,-3.5338084863657286,47.95617771750799,251,251,0,5,full,standard,original,none,fixed504,union,raw,2018
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06773031917533574,0.0076339773551518065,8.872219031358245,7.170257715355289e-19,0.05276799850044386,0.08269263985022762,251,251,0,5,full,standard,original,none,fixed504,union,raw,2018
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,36.53832438987885,12.481207566266336,2.9274670896935517,0.003417352256054179,12.075607076428014,61.00104170332969,251,251,0,5,full,standard,original,none,fixed504,union,raw,2018
