model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,12.413524554819974,5.212055510202651,2.38169461751134,0.01723318195726293,2.1980834693992417,22.628965640240708,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.03331776075533372,0.003488100679796325,9.551834598214404,1.2741956400145702e-21,0.026481209048483244,0.0401543124621842,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,13.456336662708575,5.207565639981463,2.583997513040752,0.00976624985676067,3.2496955612166296,23.66297776420052,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,13.77348596460205,5.233168869247795,2.631959011592497,0.008489410414138306,3.516663455860174,24.03030847334393,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.03389961082747603,0.0034183616071375043,9.916917729445002,3.5144151415401024e-23,0.027199745191352064,0.040599476463599994,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,14.74547093277353,5.005486608681334,2.9458616285576555,0.0032205643660747863,4.934897454660581,24.55604441088648,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,13.428577113007256,4.994407912002165,2.688722537207416,0.007172600952329038,3.639717481381121,23.21743674463339,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.02234309647582502,0.004046615785919716,5.521427696093187,3.3625618015288544e-08,0.014411875276151133,0.03027431767549891,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,4.567786020622335,3.638038278282456,1.2555629356321174,0.2092744765823482,-2.562637979189386,11.698210020434056,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,5.425075514077032,3.6141268293472373,1.5010750231631682,0.1333361581602293,-1.6584829070034912,12.508633935157555,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.022584556993477015,0.004361333885310111,5.178360012643505,2.2384494672801084e-07,0.014036499653715053,0.031132614333238974,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,3.0971508396035654,4.01489423900651,0.7714152989419615,0.44046080977064106,-4.771897270586542,10.966198949793672,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,4.647218653719136,4.054612120008028,1.1461561590039184,0.25173054421046204,-3.2996750727761945,12.594112380214467,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.022333759448378246,0.004351228569075052,5.132747934022176,2.8554220960113634e-07,0.013805508164489388,0.030862010732267103,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,2.9766393542729808,4.004147831548186,0.7433889755069497,0.4572462169108322,-4.87134618433562,10.824624892881582,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,4.228500536439109,4.0887015055001035,1.034191547304431,0.3010466249383458,-3.785207157875792,12.24220823075401,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.022004601054454846,0.004287463239878698,5.1323124708766965,2.8620383294892766e-07,0.013601327519253184,0.030407874589656506,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,3.444426344045039,3.806509685158843,0.9048778615944347,0.3655300965795477,-4.016195545669193,10.905048233759272,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,4.729407575506632,3.9222071767038167,1.2058025908466106,0.2278936163018903,-2.9579772307373764,12.41679238175064,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.021577956893917158,0.004335458116152021,4.977088076004501,6.454795532442496e-07,0.013080615129777326,0.03007529865805699,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,3.336502490401149,3.9193081099265497,0.8512988509249091,0.39460336306834687,-4.34520024937064,11.018205230172937,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
